episode,score,average score,best score
824,63.5,107.6,316.5
825,157.0,108.2,316.5
826,205.1,109.1,316.5
827,58.9,108.4,316.5
828,82.6,109.0,316.5
829,56.3,108.7,316.5
830,63.8,109.0,316.5
831,58.6,108.4,316.5
832,36.1,107.7,316.5
833,149.6,108.1,316.5
834,100.2,107.7,316.5
835,85.3,106.9,316.5
836,28.8,106.2,316.5
837,105.6,106.3,316.5
838,61.7,106.1,316.5
839,56.8,106.7,316.5
840,61.4,106.3,316.5
841,57.0,105.8,316.5
842,164.5,107.4,316.5
843,38.2,106.8,316.5
844,60.4,106.2,316.5
845,60.6,105.5,316.5
846,70.3,104.9,316.5
847,38.8,105.2,316.5
848,53.7,104.0,316.5
849,3.4,102.8,316.5
850,67.5,102.1,316.5
851,58.8,101.8,316.5
852,54.0,99.7,316.5
853,60.3,98.1,316.5
854,93.8,98.0,316.5
855,104.5,97.8,316.5
856,96.2,91.6,316.5
857,63.4,91.0,316.5
858,112.4,91.0,316.5
859,63.3,91.6,316.5
860,101.1,86.0,316.5
861,37.9,85.2,316.5
862,65.8,84.6,316.5
863,82.5,84.1,316.5
864,62.7,83.2,316.5
865,93.8,83.4,316.5
866,61.7,83.9,316.5
867,109.9,84.4,316.5
868,109.9,82.1,316.5
869,85.7,81.9,316.5
870,57.2,81.3,316.5
871,57.5,81.1,316.5
872,64.0,80.5,316.5
873,60.9,80.3,316.5
874,57.8,79.2,316.5
875,59.7,79.1,316.5
876,57.8,79.1,316.5
877,56.6,78.8,316.5
878,58.1,79.2,316.5
879,64.8,79.0,316.5
880,63.0,78.8,316.5
881,59.1,78.6,316.5
882,62.3,78.1,316.5
883,61.2,77.6,316.5
884,1323.8,89.9,316.5
885,62.5,89.7,316.5
886,27.3,89.0,316.5
887,285.0,90.8,316.5
888,95.2,90.3,316.5
889,102.0,89.6,316.5
890,2087.7,109.6,316.5
891,2162.1,130.0,316.5
892,2148.7,150.1,316.5
893,2308.8,172.5,316.5
894,975.1,181.6,316.5
895,422.5,185.5,316.5
896,40.7,185.3,316.5
897,54.2,184.0,316.5
898,725.7,190.4,316.5
899,121.2,191.0,316.5
900,2143.4,211.9,316.5
901,341.1,214.6,316.5
902,73.5,214.6,316.5
903,191.4,216.0,316.5
904,267.7,218.1,316.5
905,167.1,219.2,316.5
906,404.4,222.5,316.5
907,211.8,224.0,316.5
908,233.7,225.7,316.5
909,52.5,225.7,316.5
910,102.6,226.1,316.5
911,193.6,227.7,316.5
912,62.3,227.8,316.5
913,208.2,229.3,316.5
914,810.3,236.8,316.5
915,1986.0,255.8,316.5
916,2330.0,278.5,316.5
917,2360.6,301.5,316.5
918,1088.1,311.8,316.5




919,2332.5,332.0,332.0




920,982.9,341.3,341.3




921,641.8,347.1,347.1




922,1811.2,364.1,364.1




923,2332.7,386.8,386.8




924,2236.5,408.5,408.5




925,2195.8,428.9,428.9




926,926.0,436.1,436.1




927,305.1,438.5,438.5




928,1137.0,449.1,449.1




929,564.0,454.2,454.2




930,570.1,459.2,459.2




931,89.3,459.5,459.5




932,276.0,461.9,461.9




933,2265.1,483.1,483.1




934,142.1,483.5,483.5




935,1152.0,494.2,494.2




936,1140.9,505.3,505.3
937,96.5,505.2,505.3




938,136.9,506.0,506.0
939,37.5,505.8,506.0




940,747.1,512.6,512.6




941,381.3,515.9,515.9
942,99.6,515.2,515.9




943,2420.4,539.0,539.0




944,105.5,539.5,539.5
945,32.2,539.2,539.5
946,25.9,538.8,539.5
947,103.3,539.4,539.5




948,81.5,539.7,539.7




949,59.4,540.2,540.2




950,71.5,540.3,540.3
951,14.9,539.8,540.3
952,75.6,540.1,540.3
953,13.0,539.6,540.3
954,100.6,539.7,540.3
955,74.5,539.4,540.3
956,91.2,539.3,540.3
957,75.5,539.4,540.3
958,175.3,540.1,540.3




959,186.3,541.3,541.3
960,86.2,541.1,541.3
961,26.9,541.0,541.3
962,23.7,540.6,541.3
963,111.3,540.9,541.3
964,60.9,540.9,541.3
965,116.3,541.1,541.3




966,103.5,541.5,541.5
967,22.4,540.6,541.5
968,113.9,540.7,541.5




969,494.3,544.8,544.8
970,13.9,544.3,544.8




